AdultTotal,AdultsReleased,AdultsShipped,Comments,DateOfReport,Facility,JackTotal,LethalSpawned,LiveSpawned,Mortality,OnHand,OnHandJacks,Species,Stock,Surplus,TotalEggtake,WeekEndingDate
1420,1209,0,,9/25/2002 0:00,Cowlitz Salmon,72,0,0,0,211,0,Type-N Coho,Cowlitz - H,0,0,10/3/2002 0:00
870,0,0,,9/25/2002 0:00,Speelyai,0,0,0,10,860,0,Kokanee,Lewis,0,0,10/3/2002 0:00
173,173,0,,9/27/2002 0:00,Sunset Falls Skykomish,53,0,0,0,0,0,Summer Chinook,,0,0,10/3/2002 0:00
10446,10443,3,,9/27/2002 0:00,Sunset Falls,30,0,0,0,0,0,Coho,Skykomish,0,0,10/3/2002 0:00
1416,1416,0,,9/27/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,10/3/2002 0:00
1,1,0,,9/27/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Cutthroat,,0,0,10/3/2002 0:00
85,85,0,,9/27/2002 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,10/3/2002 0:00
3800,1933,0,,10/1/2002 0:00,Samish,75,736,0,11,1120,0,Fall Chinook,Samish,0,1671700,10/3/2002 0:00
6677,2850,2290,,10/2/2002 0:00,North Toutle,313,0,0,37,1500,0,Type-S Coho,Toutle,0,0,10/3/2002 0:00
28,28,0,,10/2/2002 0:00,Cedar River Cedar,1,0,0,0,0,0,Chum,,0,0,10/3/2002 0:00
0,0,0,Eggs received from Union tr,10/2/2002 0:00,George Adams Union,0,0,0,0,0,0,Summer Chum,,0,89700,10/3/2002 0:00
6518,6140,0,,10/4/2002 0:00,Cowlitz Salmon,986,0,0,0,378,0,Type-N Coho,Cowlitz - H,0,0,10/17/2002 0:00
13,13,0,,10/15/2002 0:00,Samish Samish,0,0,0,0,0,0,Searun Cutthroat,,0,0,10/17/2002 0:00
1126,407,23,,10/15/2002 0:00,Speelyai,0,528,0,168,0,0,Kokanee,Lewis,0,151200,10/17/2002 0:00
80,0,80,,10/16/2002 0:00,Kendall Creek,4,0,0,0,0,0,Fall Chinook,Nooksack,0,0,10/17/2002 0:00
173,173,0,,10/16/2002 0:00,Sunset Falls Skykomish,53,0,0,0,0,0,Summer Chinook,,0,0,10/17/2002 0:00
26,0,0,,10/16/2002 0:00,Kendall Creek,0,0,0,0,26,0,Coho,Nooksack,0,0,10/17/2002 0:00
5,0,0,,10/16/2002 0:00,Grays River,0,0,0,0,5,0,Type-S Coho,Grays River,0,0,10/17/2002 0:00
0,0,0,Eggs received from Union River Tr,10/16/2002 0:00,George Adams Union,0,0,0,0,0,0,Summer Chum,,0,89700,10/17/2002 0:00
1448,1448,0,,10/16/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,10/17/2002 0:00
1,1,0,,10/16/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Cutthroat,,0,0,10/17/2002 0:00
87,87,0,,10/16/2002 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,10/17/2002 0:00
4,4,0,,10/16/2002 0:00,Eastbank/Dryden L,0,0,0,0,0,0,Whitefish,Wenatchee,0,0,10/17/2002 0:00
541,0,286,,10/16/2002 0:00,Lake Aberdeen,200,0,0,5,250,0,Type-N Coho,Van Winkle,0,0,11/14/2002 0:00
6258,2947,2947,,10/17/2002 0:00,Sol Duc,75,144,0,0,220,0,Summer Coho,Soleduck,0,216000,10/17/2002 0:00
15,15,0,Fi,10/29/2002 0:00,Samish Samish,0,0,0,0,0,0,Searun Cutthroat,,0,0,10/31/2002 0:00
15,15,0,Final in-season estim,10/29/2002 0:00,Samish Samish,0,0,0,0,0,0,Searun Cutthroat,,0,0,11/21/2002 0:00
125,0,125,,10/30/2002 0:00,Kendall Creek,6,0,0,0,0,0,Fall Chinook,Nooksack,0,0,10/31/2002 0:00
100,0,0,,10/30/2002 0:00,Kendall Creek,0,0,0,0,100,0,Coho,Nooksack,0,0,10/31/2002 0:00
1402,0,824,,10/30/2002 0:00,Lake Aberdeen,650,40,0,38,500,0,Type-N Coho,Van Winkle,0,60000,10/31/2002 0:00
16,0,0,,10/30/2002 0:00,Whatcom Creek Whatcom Creek,0,0,0,0,16,0,Chum,,0,0,10/31/2002 0:00
4,4,0,,10/30/2002 0:00,Eastbank/Dryden L,0,0,0,0,0,0,Whitefish,Wenatchee,0,0,10/31/2002 0:00
0,0,0,,10/30/2002 0:00,Ford,0,0,242,0,0,0,Brown trout,Ford,0,441960,10/31/2002 0:00
0,0,0,180 of these fish were tripiloided tr,10/30/2002 0:00,Ford,0,0,243,0,0,0,Brook trout,Ford,0,453714,10/31/2002 0:00
173,173,0,Fi,10/31/2002 0:00,Sunset Falls Skykomish,53,0,0,0,0,0,Summer Chinook,,0,0,10/31/2002 0:00
3736,0,3422,Adults shipped donated to food ba,10/31/2002 0:00,Sol Duc,185,164,0,0,150,0,Type-S Coho,Soleduck,0,243000,10/31/2002 0:00
1452,1452,0,,10/31/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,10/31/2002 0:00
1,1,0,,10/31/2002 0:00,Garrison Springs Chambers,0,0,0,0,0,0,Winter Steelhead,,0,0,10/31/2002 0:00
88,88,0,,10/31/2002 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,10/31/2002 0:00
10,10,0,,11/6/2002 0:00,Grays River,0,0,0,0,0,0,Type-S Coho,Grays River,0,0,11/14/2002 0:00
3736,0,3422,,11/7/2002 0:00,Sol Duc,185,164,0,0,150,0,Summer Coho,Soleduck,0,243000,11/14/2002 0:00
1457,1457,0,,11/8/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,11/14/2002 0:00
89,89,0,,11/8/2002 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,11/14/2002 0:00
4023,0,0,,11/13/2002 0:00,Baker,0,1342,0,44,2637,0,Sockeye,Baker,0,0,11/14/2002 0:00
10508,0,3252,,11/13/2002 0:00,George Adams,0,2894,0,362,4000,0,Fall Chum,George Adams,0,4400000,11/14/2002 0:00
2845,0,1840,,11/13/2002 0:00,Whatcom Creek,0,745,0,24,236,0,Chum,Whatcom Creek,0,0,11/14/2002 0:00
2,2,0,,11/13/2002 0:00,Garrison Springs Chambers,0,0,0,0,0,0,Winter Steelhead,,0,0,11/14/2002 0:00
8,8,0,,11/13/2002 0:00,Eastbank/Dryden L,0,0,0,0,0,0,Whitefish,Wenatchee,0,0,11/14/2002 0:00
2259,0,2199,,11/13/2002 0:00,Ford,0,60,686,0,0,0,Brown trout,Ford,0,1459159,11/14/2002 0:00
276,0,276,,11/13/2002 0:00,Ford,0,0,202,0,0,0,Brook trout,Ford,0,517866,11/14/2002 0:00
24595,0,0,,11/13/2002 0:00,Lake Whatcom,0,24495,0,0,100,0,Kokanee,Whatcom Lake,0,1619232,11/14/2002 0:00
0,0,0,,11/19/2002 0:00,Ford,0,0,321,0,0,0,Tiger Trout,Ford TT-02,0,607400,11/21/2002 0:00
39853,37476,0,,11/20/2002 0:00,Cowlitz Salmon,6925,276,0,39,2062,0,Type-N Coho,Cowlitz - H,0,55800,11/21/2002 0:00
300,0,0,,11/20/2002 0:00,Grays River,0,0,0,0,300,0,Type-S Coho,Grays River,0,0,11/21/2002 0:00
0,0,0,Final in-season estimate; receive,11/20/2002 0:00,George Adams Union,0,0,0,0,0,0,Summer Chum,,0,89700,11/21/2002 0:00
5,5,0,Final in-season estim,11/20/2002 0:00,Cedar River Cedar,0,0,0,0,0,0,Winter Steelhead,,0,0,11/21/2002 0:00
3,3,0,,11/20/2002 0:00,Issaquah Lk Washington,0,0,0,0,0,0,Cutthroat,,0,0,11/21/2002 0:00
2259,0,2199,,11/20/2002 0:00,Ford,0,60,686,0,0,0,Brown trout,Ford BT-99,0,1459159,11/21/2002 0:00
64200,0,0,,11/20/2002 0:00,Lake Whatcom,0,64100,0,0,100,0,Kokanee,Whatcom Lake,0,4793568,11/21/2002 0:00
2435,0,1975,,11/20/2002 0:00,Ford,0,60,182,0,400,0,Eastern Brook,Ford EB-00,0,198566,11/21/2002 0:00
3592,0,3422,Final in-season estim,11/21/2002 0:00,Sol Duc,185,164,0,6,0,0,Summer Coho,Soleduck,0,243000,11/21/2002 0:00
173,173,0,Final in-season estima,11/27/2002 0:00,Sunset Falls Skykomish,53,0,0,0,0,0,Summer Chinook,,0,0,12/6/2002 0:00
1488,1488,0,,11/27/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,12/6/2002 0:00
90,90,0,,11/27/2002 0:00,Sunset Falls,0,0,0,0,0,0,Bull Trout,Skykomish,0,0,12/6/2002 0:00
1468,1135,60,,12/3/2002 0:00,Elochoman(Pd 21),161,0,0,13,260,0,Type-N Coho,Elochoman,0,0,12/6/2002 0:00
1010,0,340,,12/3/2002 0:00,Kendall Creek,0,540,0,120,10,0,Chum,Nooksack,0,950000,12/6/2002 0:00
2,0,0,,12/3/2002 0:00,Whatcom Creek Whatcom Creek,0,0,0,0,2,0,Winter Steelhead,,0,0,12/6/2002 0:00
577,373,0,Final in-season estimate. Tra,12/4/2002 0:00,Grays River,22,204,0,0,0,0,Type-S Coho,Grays River,0,300000,12/6/2002 0:00
0,0,0,Final in-season estimate.  Receive,12/4/2002 0:00,George Adams Union,0,0,0,0,0,0,Summer Chum,,0,89700,12/6/2002 0:00
3,3,0,,12/4/2002 0:00,Issaquah Lk Washington,0,0,0,0,0,0,Cutthroat,,0,0,12/6/2002 0:00
13,13,0,,12/4/2002 0:00,Eastbank/Dryden L,0,0,0,0,0,0,Whitefish,Wenatchee,0,0,12/6/2002 0:00
2259,0,2199,"10,440 Goldendale; 10,440 Kend",12/4/2002 0:00,Ford,0,60,686,0,0,0,Brown trout,Ford BT-99,0,1459159,12/6/2002 0:00
116010,0,0,,12/4/2002 0:00,Lake Whatcom,0,115832,0,78,100,0,Kokanee,Whatcom Lake,0,9601832,12/6/2002 0:00
2435,1975,0,,12/4/2002 0:00,Ford,0,60,182,0,400,0,Eastern Brook,Ford EB-00,0,198566,12/6/2002 0:00
0,0,0,,12/4/2002 0:00,Ford,0,0,0,0,0,0,Tiger Trout,Ford TT-02,0,2175591,12/6/2002 0:00
2,0,0,,12/6/2002 0:00,Whatcom Creek Whatcom Creek,0,0,0,0,2,0,Searun Cutthroat,,0,0,12/6/2002 0:00
4,4,0,Final in-season estima,12/11/2002 0:00,Issaquah Lk Washington,0,0,0,0,0,0,Cutthroat,,0,0,12/19/2002 0:00
1491,1491,0,Final in-season estimate.  Trap sh,12/14/2002 0:00,Sunset Falls Skykomish,0,0,0,0,0,0,Summer Steelhead,,0,0,12/19/2002 0:00
2914,2353,86,,12/17/2002 0:00,Elochoman(Pd 21),221,274,0,161,40,0,Type-N Coho,Elochoman,0,552900,12/19/2002 0:00
2,0,0,,12/17/2002 0:00,Whatcom Creek Whatcom Creek,0,0,0,0,2,0,Searun Cutthroat,,0,0,12/19/2002 0:00
614,0,514,,12/18/2002 0:00,Forks Creek,0,0,0,0,100,0,Late Coho,Willapa,0,0,12/19/2002 0:00
2186,0,630,,12/18/2002 0:00,Kendall Creek,0,1304,0,232,20,0,Chum,Nooksack,0,2200000,12/19/2002 0:00
2,0,0,,12/18/2002 0:00,Kendall Creek Nooksack,0,0,0,0,2,0,Winter Steelhead,,0,0,12/19/2002 0:00
13,13,0,Final in-season estima,12/18/2002 0:00,Eastbank/Dryden L,0,0,0,0,0,0,Whitefish,Wenatchee,0,0,12/19/2002 0:00
2199,0,2199,,12/18/2002 0:00,Ford,0,0,686,0,0,0,Brown Trout,Ford BT-99,0,1459159,12/19/2002 0:00
135286,0,0,Final in-season estima,12/18/2002 0:00,Lake Whatcom,0,135286,0,0,0,0,Kokanee,Whatcom Lake,0,11728744,12/19/2002 0:00
2435,0,1975,,12/18/2002 0:00,Ford,0,60,182,0,400,0,Eastern Brook,Ford EB-00,0,198566,12/19/2002 0:00
0,0,0,,12/18/2002 0:00,Ford,0,0,0,0,0,0,Tiger Trout,Ford TT-02,0,587540,12/19/2002 0:00
7984,2500,4426,,12/18/2002 0:00,Kendall Creek,48,524,0,34,500,0,Coho,Nooksack,0,705000,1/2/2003 0:00
4071,3416,98,,12/23/2002 0:00,Elochoman(Pd 21),276,306,0,251,0,0,Type-N Coho,Elochoman,0,609800,1/2/2003 0:00
3841,0,0,,12/24/2002 0:00,Baker,0,3537,0,304,0,0,Sockeye,Baker,0,700000,1/2/2003 0:00
746,746,0,,12/24/2002 0:00,Garrison Springs,0,0,0,0,0,0,Late Chum,Chambers,0,0,1/2/2003 0:00
0,0,0,Final in-season estimate. Receive,12/25/2002 0:00,George Adams Union,0,0,0,0,0,0,Summer Chum,,0,89700,1/2/2003 0:00
0,0,0,"Received 130,000 eggs fro",1/8/2003 0:00,Humptulips,0,0,0,0,0,0,Late Coho,Satsop,0,0,1/9/2003 0:00
2,2,0,,1/8/2003 0:00,Whatcom Creek Whatcom Creek,0,0,0,0,0,0,Searun Cutthroat,,0,0,1/9/2003 0:00
2259,0,2199,Final in-season estima,1/8/2003 0:00,Ford,0,60,686,0,0,0,Brown Trout,Ford BT-99,0,1459159,1/9/2003 0:00
2435,0,1975,Final in-season estima,1/8/2003 0:00,Ford,0,60,182,0,400,0,Eastern Brook,Ford EB-00,0,198566,1/9/2003 0:00
0,0,0,Final in-season estima,1/8/2003 0:00,Ford,0,0,0,0,0,0,Tiger Trout,Ford TT-02,0,587540,1/9/2003 0:00
7984,2500,4426,,1/9/2003 0:00,Kendall Creek,48,524,0,34,500,0,Coho,Nooksack,0,705000,1/9/2003 0:00
2261,0,630,Final in-season estima,1/9/2003 0:00,Kendall Creek,0,1304,0,327,0,0,Chum,Nooksack,0,2200000,1/9/2003 0:00
6,0,0,,1/9/2003 0:00,Kendall Creek Nooksack,0,0,0,2,4,0,Winter Steelhead,,0,0,1/9/2003 0:00
0,0,0,"Received 272,000 eggs fro",1/15/2003 0:00,Humptulips,0,0,0,0,0,0,Late Coho,Satsop,0,0,1/16/2003 0:00
7984,3000,4426,Final in-season estima,1/15/2003 0:00,Kendall Creek,48,524,0,34,0,0,Coho,Nooksack,0,705000,1/16/2003 0:00
4071,3416,98,Final in-season estima,1/15/2003 0:00,Elochoman(Pd 21),276,306,0,251,0,0,Type-N Coho,Elochoman,0,609600,1/16/2003 0:00
1614,1614,0,,1/15/2003 0:00,Garrison Springs,0,0,0,0,0,0,Late Chum,Chambers,0,0,1/16/2003 0:00
2261,0,630,Final in-season estima,1/15/2003 0:00,Kendall Creek,0,1304,0,327,0,0,Chum,Nooksack,0,2200000,1/16/2003 0:00
6,0,0,,1/15/2003 0:00,Kendall Creek Nooksack,0,0,0,2,4,0,Winter Steelhead,,0,0,1/16/2003 0:00
2,2,0,Final in-season estim,1/15/2003 0:00,Whatcom Creek Whatcom Creek,0,0,0,0,0,0,Searun Cutthroat,,0,0,1/16/2003 0:00
0,0,0,"Received 272,000 eggs fro",1/22/2003 0:00,Humptulips,0,0,0,0,0,0,Late Coho,Bingham Creek,0,0,1/23/2003 0:00
6,0,0,,1/22/2003 0:00,Kendall Creek Nooksack,0,0,0,2,4,0,Winter Steelhead,,0,0,1/23/2003 0:00
1702,1702,0,,1/23/2003 0:00,Garrison Springs,0,0,0,0,0,0,Late Chum,Chambers,0,0,1/23/2003 0:00
0,0,0,"Final Report. Received 236,000 eg",1/29/2003 0:00,Humptulips,0,0,0,0,0,0,Late Coho,Bingham Creek,0,0,1/30/2003 0:00
1722,1722,0,Fish collected at Chambers Tr,1/29/2003 0:00,Garrison Springs,0,0,0,0,0,0,Late Chum,Chambers,0,0,1/30/2003 0:00
2,2,0,,1/29/2003 0:00,Cowlitz Trout Cowlitz,0,0,0,0,0,0,Late Winter Steelhead,,0,0,1/30/2003 0:00
40,40,0,,1/29/2003 0:00,Whitehorse Stillaguamish,0,0,0,0,0,0,Summer Steelhead,,0,0,1/30/2003 0:00
6,0,0,,1/29/2003 0:00,Kendall Creek Nooksack,0,0,0,2,4,0,Winter Steelhead,,0,0,1/30/2003 0:00
0,0,0,"Final report. 272,000 eggs received",2/5/2003 0:00,Humptulips,0,0,0,0,0,0,Late Coho,Bingham Creek,0,0,2/6/2003 0:00
20,20,0,,2/5/2003 0:00,Cowlitz Trout Cowlitz,0,0,0,0,0,0,Late Winter Steelhead,,0,0,2/6/2003 0:00
40,40,0,,2/5/2003 0:00,Whitehorse Stillaguamish,0,0,0,0,0,0,Summer Steelhead,,0,0,2/6/2003 0:00
6,0,0,,2/5/2003 0:00,Kendall Creek Nooksack,0,1,0,2,3,0,Winter Steelhead,,0,2000,2/6/2003 0:00
1725,1725,0,,2/6/2003 0:00,Garrison Springs,0,0,0,0,0,0,Late Chum,Chambers,0,0,2/6/2003 0:00
1725,1725,0,Final in-season estimate,2/12/2003 0:00,Garrison Springs,0,0,0,0,0,0,Late Chum,Chambers,0,0,2/13/2003 0:00
60,60,0,,2/12/2003 0:00,Cowlitz Trout Cowlitz,0,0,0,0,0,0,Late Winter Steelhead,,0,0,2/13/2003 0:00
40,0,40,Final in-season estimate,2/12/2003 0:00,Whitehorse Stillaguamish,0,0,0,0,0,0,Summer Steelhead,,0,0,2/13/2003 0:00
7,0,0,,2/12/2003 0:00,Kendall Creek Nooksack,0,2,0,2,3,0,Winter Steelhead,,0,6000,2/13/2003 0:00
135286,0,0,,2/12/2003 0:00,Lake Whatcom,0,135286,0,0,0,0,Kokanee,Whatcom Lake,0,14825000,2/13/2003 0:00
60,60,0,,2/19/2003 0:00,Cowlitz Trout Cowlitz,0,0,0,0,0,0,Late Winter Steelhead,,0,0,2/20/2003 0:00
6,0,0,,2/19/2003 0:00,Kendall Creek Nooksack,0,2,0,3,1,0,Winter Steelhead,,0,6000,2/20/2003 0:00
70,70,0,,2/25/2003 0:00,Cowlitz Trout Cowlitz,0,0,0,0,0,0,Late Winter Steelhead,,0,0,2/27/2003 0:00
7,0,2,Final in-season estimate.,2/26/2003 0:00,Kendall Creek Nooksack,0,2,0,3,0,0,Winter Steelhead,,0,6000,2/27/2003 0:00
70,70,0,,3/4/2003 0:00,Cowlitz Trout Cowlitz,0,0,0,0,0,0,Late Winter Steelhead,,0,0,3/6/2003 0:00
1,1,0,,3/11/2003 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,0,0,Spring Chinook,,0,0,3/13/2003 0:00
75,75,0,,3/11/2003 0:00,Cowlitz Trout Cowlitz,0,0,0,0,0,0,Late Winter Steelhead,,0,0,3/13/2003 0:00
2347,0,0,,3/12/2003 0:00,Ford Kings Lake,0,0,49,9,2338,0,Westslope Cutthroat,,0,23688,3/13/2003 0:00
82,82,0,,3/18/2003 0:00,Cowlitz Trout Cowlitz,5,0,0,0,0,0,Late Winter Steelhead,,0,0,3/20/2003 0:00
10,10,0,,3/19/2003 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,0,0,Spring Chinook,,0,0,3/20/2003 0:00
2347,0,0,,3/19/2003 0:00,Ford Kings Lake,0,0,102,9,2338,0,Westslope Cutthroat,,0,60264,3/20/2003 0:00
3,3,0,,3/19/2003 0:00,Tucannon/upper trap,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,3/20/2003 0:00
82,82,0,,3/25/2003 0:00,Cowlitz Trout Cowlitz,0,0,0,0,0,0,Late Winter Steelhead,,0,0,3/27/2003 0:00
12,12,0,,3/26/2003 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,0,0,Spring Chinook,,0,0,3/27/2003 0:00
2353,0,0,"51,800 eggs shipped to Spokane",3/26/2003 0:00,Ford Kings Lake,0,0,179,15,2338,0,Westslope Cutthroat,,0,112064,3/27/2003 0:00
3,3,0,,3/26/2003 0:00,Tucannon/upper trap,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,3/27/2003 0:00
2338,0,0,,4/2/2003 0:00,Ford Kings Lake,0,0,292,68,2270,0,Westslope Cutthroat,,0,183974,4/3/2003 0:00
4,4,0,,4/2/2003 0:00,Tucannon/upper trap,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,4/3/2003 0:00
82,82,0,,4/3/2003 0:00,Cowlitz Trout Cowlitz,5,0,0,0,0,0,Late Winter Steelhead,,0,0,4/3/2003 0:00
278,137,0,,4/8/2003 0:00,Cowlitz Trout Cowlitz,5,14,14,2,125,0,Late Winter Steelhead,,0,104363,4/10/2003 0:00
69,64,0,,4/9/2003 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,5,0,Spring Chinook,,0,0,4/10/2003 0:00
2338,0,0,,4/9/2003 0:00,Ford Kings Lake,0,0,411,68,2270,0,Westslope Cutthroat,,0,260114,4/10/2003 0:00
4,4,0,,4/9/2003 0:00,Tucannon/upper trap,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,4/10/2003 0:00
366,303,0,Final in-season estimate.,4/12/2003 0:00,Lake Lenore Trap Lenore,0,0,366,63,0,0,Lahontan Cutthroat,,0,632384,4/24/2003 0:00
468,247,0,,4/15/2003 0:00,Cowlitz Trout Cowlitz,5,34,34,5,182,0,Late Winter Steelhead,,0,229302,4/17/2003 0:00
12,3,0,,4/16/2003 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,9,0,Spring Chinook,,0,0,4/17/2003 0:00
2338,0,0,,4/16/2003 0:00,Ford Kings Lake,0,0,525,68,2270,0,Westslope Cutthroat,,0,343022,4/17/2003 0:00
4,4,0,,4/16/2003 0:00,Tucannon/upper trap,0,0,0,0,0,0,Bull Trout,Tucannon - W,0,0,4/17/2003 0:00
574,272,0,,4/22/2003 0:00,Cowlitz Trout Cowlitz,0,58,58,8,236,0,Late Winter Steelhead,,0,391672,4/24/2003 0:00
203,143,18,574 spring chinook opercle-punched,4/23/2003 0:00,Cowlitz Salmon Cowlitz - H,0,0,0,0,42,0,Spring Chinook,,0,0,4/24/2003 0:00
8,8,0,,4/23/2003 0:00,Issaquah Issaquah,0,0,0,0,0,0,Cutthroat,,0,0,4/24/2003 0:00
